team,post,post_author,post_time,tag,source,Annotations
Betboom,"BetBoom eliminate SAW to reach seventh-place decider in EU RMR A

nafany's side still needs one more series win to secure a spot in the Shanghai Major.

Read more:

#cs #cs2 #hltv",HLTV RSS FEED,2024-11-20 05:01:16.526300+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"#BetBoom eliminate #SAW from the Shanghai Major after winning Vertigo 13-9 and Ancient 13-9.

#CS2 #ShanhaiMajor #counterstrike",Mike,2024-11-20 03:54:08.775000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"🎮🔥 Vitality (13) vs BetBoom (3)! 🔥🎮

Winner: Vitality

Event: Perfect World Shanghai Major 2024 Europe RMR A#cs #cs2 #hltv #Vitality #BetBoom","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-20 02:45:34.477447+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"🎮🔥 BetBoom (2) vs Nemiga (0)! 🔥🎮

Winner: BetBoom

Event: Perfect World Shanghai Major 2024 Europe RMR A#cs #cs2 #hltv #BetBoom #Nemiga","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-20 02:39:43.978242+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"#SAW take on #BetBoom in an elimination BO3.

Map 1 is Vertigo. Map and the decider will be Ancient and Dust II respectively.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-20 02:33:48.475000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"🎮🔥 SAW vs BetBoom at Perfect World Shanghai Major 2024 Europe RMR A! 🔥🎮

📅 Date: 2024-11-20T03:00:00
⭐ Star Rating: ✪✪✪✪✪#cs #cs2 #hltv #SAW #BetBoom","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-20 01:40:30.946528+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"inb4 map veto: saw pick nuke, betboom pick anubis, ancient decider 😎",Cam,2024-11-19 23:54:07.573000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
Betboom,"EU group A 2-2 bracket, sorry heartbreak on the horizon for some hardworking teams. Sinners Vs GamerLegion in particular is the most painful to me, both showed great resilience throughout their matchups so far. SAW in their game Vs BetBoom seems the only clear favorite out of the 3 final matchups",Cam,2024-11-19 20:25:12.918000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,1
Betboom,"13. Complexity (237 points)
14. Eternal Fire (230 points)
15. GamerLegion (201 points)
16. FURIA (181 points)
17. Monte (151 points)
18. The MongolZ (120 points)
19. Astralis (118 points)
20. 9 Pandas (99 points)
21. Liquid (90 points)
22. BetBoom (88 points)
23. AMKAL (80 points)
24. SAW (79 points","Counter-Strike Rankings, Upcoming Matches, and Results",2024-11-19 18:31:45.770356+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,2
Betboom,"#BetBoom eliminate #Nemiga from the Shanghai Major 2-0 after a 13-8 victory on Mirage.

#CS2 #ShanghaiMajor #counterstrike",Mike,2024-11-19 06:40:24.306000+00:00,"['Perfect World Shanghai Major 2024: European RMR A', 'Perfect World Shanghai Major 2024']",BlueSky,3
