team,player
Natus Vincere,b1t
Natus Vincere,Aleksib
Natus Vincere,jL
Natus Vincere,iM
Natus Vincere,w0nderful
FaZe Clan,rain
FaZe Clan,broky
FaZe Clan,karrigan
FaZe Clan,ropz
FaZe Clan,frozen
SAW,MUTiRiS
SAW,rmn
SAW,ewjerkz
SAW,story
SAW,Ag1l
Fnatic,KRIMZ
Fnatic,bodyy
Fnatic,matys
Fnatic,blameF
Fnatic,nawwk
Cloud9,Ax1Le
Cloud9,Boombl4
Cloud9,HeavyGod
Cloud9,ICY
Cloud9,interz
Rebels,Innocent
Rebels,Casey
Rebels,Olimp
Rebels,Flayy
Rebels,Kisserek
Betboom,Zorte
Betboom,Magnojez
Betboom,Nafay
Betboom,S1ren
Betboom,KaiRON-
GamerLegion,Fl4mus
GamerLegion,Zorte
GamerLegion,Tauson
GamerLegion,Sl3nd
GamerLegion,Volt
ECLOT,Dytor
ECLOT,nbqq
ECLOT,FORSYY
ECLOT,Blytz
ECLOT,kreaz
Nemiga,Xant3r
Nemiga,1eer
Nemiga,Riskyb0b
Nemiga,khaN
Nemiga,zweih
