FileNameLocal,UserText
Data/attachments13/You have a new lead from ReadyChat..eml,I believe there is Susan
Data/attachments13/You have a new lead from ReadyChat._1.eml,HI! I texted the number on the site and am waiting to hear back -- a home ju st came on the market in Celebration that my husband and I are very interest ed in. We're looking for a relator to support us through the evaluation/bidd ing process. We aren't pre-apprved but would have zero problems with financi ng or down payment. Rhonda
Data/attachments13/You have a new lead from ReadyChat._10.eml,"Hello, We have been searching homes and finally decided that we would like t o buy in Hawk's Crest, Winter Park. They told us there are 50 intended buyer s for 30 future homes available. We know the market is crazy and don't mind w aiting. We would like to know if you have hard data about that project and c ould help us decide if we should wait and see what is finally going to happe n -or- move on and search other options. Thank you! PS We LOVE your YouTube Channel. ) Alice"
Data/attachments13/You have a new lead from ReadyChat._11.eml,"I will be in Florida in mid October and we will be looking for a 2nd home ( prefer townhome or Condo) . My son (22) will be relocating to the Orlando area and I want to find a residence that he can stay in short term and for my family to use as a second home long term. Looking for something in the $300-$500,000 range, 2-3 bedrooms near Disney, move in ready . Will pay cash. best to contact me email. ThanksRon Tackett El Dorado Hills CA *Michelle* Hi. *"
Data/attachments13/You have a new lead from ReadyChat._12.eml,Hello. Saw Ken's YouTube on Airbnb in reunion and we're interested in lookin g at homes there. Emily
Data/attachments13/You have a new lead from ReadyChat._13.eml,"Hi!, yes, please. I want to know if you rent apartments or houses in the winter garden or somewhere like that Amanda"
Data/attachments13/You have a new lead from ReadyChat._14.eml,Yes. Faith
Data/attachments13/You have a new lead from ReadyChat._15.eml,I heard Ken talk about the group managing some rentals. Does the Pozek group do property management? I have a single family residence in Celebration Fl Lindsey
Data/attachments13/You have a new lead from ReadyChat._16.eml,I'm interested in getting more information about some of the Airbnb second h omes you mention edit in your video this week. We are looking at purchasing i n q1 2022. Sandy
Data/attachments13/You have a new lead from ReadyChat._17.eml,Looking for vacation home in reunion Rhonda
Data/attachments13/You have a new lead from ReadyChat._18.eml,Hello. I have watched several of Ken's videos and have found a house in Reun ion that we are interested in. The address is 1072 Castle Pines Ct. I would l ike to know historical rental rates for this property.Thanks!Brian Alice
Data/attachments13/You have a new lead from ReadyChat._19.eml,"Yes hello. I was hoping to connect, but your web form doesn't seem to working correctly when I click ""send message."" Faith"
Data/attachments13/You have a new lead from ReadyChat._2.eml,Can the mew construction on Ocala be used for short-term rental Amanda
Data/attachments13/You have a new lead from ReadyChat._20.eml,"Hello, Tiffany"
Data/attachments13/You have a new lead from ReadyChat._21.eml,Sorry I was just chatting my name is Scott hickey Sharon
Data/attachments13/You have a new lead from ReadyChat._22.eml,Hi. My husband and I are looking to relocate in Orlando within the next year or so. We've been trying to scout areas but have been very little success on it. We are wondering if you are able to help us. We're not looking to do any paper work yet so we're not sure if it is possible. Fiona
Data/attachments13/You have a new lead from ReadyChat._23.eml,Are you from Ken Pozek Keller Williams? Alicia
Data/attachments13/You have a new lead from ReadyChat._24.eml,Am looking to buy a short term rental. Will need to manage it from Texas. Starting from ground zero. Sophie
