StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5_1,Q6_1,Q7_1,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q10_2,Q10_3,Q10_4,RandomSurveyID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"On a scale of 1 to 5, how confident are you in using new technologies (e.g., learning a new app, device)?",How long do you use technology such as smartphones or computers on a daily basis?,Which of the following best describes your use of technology? (Check all that apply),"In the past week, how many hours per day did you spend using technology for work-related tasks?",How would you rate the overall impact of technology on your daily productivity? - Click to write Choice 1,"On a scale of 1 to 5, how would you rate the effect of technology on your social relationships? - Less than an hour",Do you think technology helps or hinders face-to-face social interactions? - Click to write Choice 1,Technology is helpful for learning and education,Please rank your level of excitement for the following emerging technologies. - Artificial Intelligence,Please rank your level of excitement for the following emerging technologies. - Virtual Reality,Please rank your level of excitement for the following emerging technologies. - Augmented Reality,Please rank your level of excitement for the following emerging technologies. - Autonomous Vehicles,Please rank your level of concern for the following emerging technologies. - Artificial Intelligence,Please rank your level of concern for the following emerging technologies. - Virtual Reality,Please rank your level of concern for the following emerging technologies. - Augmented Reality,Please rank your level of concern for the following emerging technologies. - Autonomous Vehicles,RandomSurveyID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""RandomSurveyID""}"
2024-10-15 16:43:27,2024-10-15 16:43:51,0,73.191.43.175,100,23,1,2024-10-15 16:43:51,R_1LOsb7b4G8cc7YH,,,,,38.8428,-77.09,anonymous,EN,5,4,3,3,3,3,3,1,1,2,3,4,1,3,2,4,28725
2024-10-15 16:44:23,2024-10-15 16:45:28,0,209.20.236.98,100,65,1,2024-10-15 16:45:28,R_11AKhuilUhVH0cU,,,,,37.751,-97.822,anonymous,EN,5,4,"1,4,5",5,4,4,4,1,1,2,4,3,2,1,3,4,99595
2024-10-15 16:44:48,2024-10-15 16:45:51,0,162.253.252.163,100,62,1,2024-10-15 16:45:51,R_50AwseEN232cHDj,,,,,45.413,-75.7011,anonymous,EN,4,3,1,4,4,4,4,1,1,3,4,2,1,2,4,3,87354
2024-10-15 16:44:43,2024-10-15 16:46:13,0,139.171.225.36,100,90,1,2024-10-15 16:46:13,R_3ruFOj0tWhGuADC,,,,,37.751,-97.822,anonymous,EN,3,2,1,2,4,4,5,1,4,1,3,2,4,1,2,3,54494
2024-10-15 16:45:37,2024-10-15 16:46:38,0,139.171.226.66,100,60,1,2024-10-15 16:46:38,R_12IYIXPn2nq45B5,,,,,37.751,-97.822,anonymous,EN,4,2,1,5,5,5,4,1,1,3,2,4,2,1,3,4,28480
2024-10-15 16:46:19,2024-10-15 16:47:15,0,209.20.194.18,100,55,1,2024-10-15 16:47:15,R_5bTAzfYMgjLH5AU,,,,,37.751,-97.822,anonymous,EN,4,2,"3,4",2,4,5,4,1,2,4,1,3,3,4,1,2,15883
2024-10-15 16:44:53,2024-10-15 16:47:17,0,165.73.253.28,100,144,1,2024-10-15 16:47:17,R_8KGAQw8ck50O3HU,,,,,32.7797,-96.8022,anonymous,EN,5,4,"1,3,4,5",3,5,4,5,1,1,4,2,3,1,2,4,3,90449
2024-10-15 16:44:58,2024-10-15 16:47:37,0,137.155.55.161,100,158,1,2024-10-15 16:47:37,R_1wNqESaZLUPdvPb,,,,,40.5948,-73.9715,anonymous,EN,3,3,3,2,4,3,4,1,1,3,4,2,3,1,4,2,55426
