StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1#1_1,Q1#1_2,Q1#1_3,Q1#1_4,Q1#1_5,Q1#1_6,Q1#1_7,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,RandomSurveyID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please give me your first reaction, yes or no, whether you personally would feel comfortable havi... - Comfortable with? - Marrying your son/daughter, sibling or other close relative?","Please give me your first reaction, yes or no, whether you personally would feel comfortable havi... - Comfortable with? - As a close friend","Please give me your first reaction, yes or no, whether you personally would feel comfortable havi... - Comfortable with? - As neighbors on the same street","Please give me your first reaction, yes or no, whether you personally would feel comfortable havi... - Comfortable with? - As co-workers in the same occupation","Please give me your first reaction, yes or no, whether you personally would feel comfortable havi... - Comfortable with? - As a registered voter in my city/county","Please give me your first reaction, yes or no, whether you personally would feel comfortable havi... - Comfortable with? - As a visitor in my county","Please give me your first reaction, yes or no, whether you personally would feel comfortable havi... - Comfortable with? - Would exclude from entry into my city/county","Please Score you're feelings towards the following questions. (Note: All the way to the left is strongly agree - If a group of former addicts lived nearby, I would not allow my children to walk to school alone.",Please Score you're feelings towards the following questions. (Note: All the way to the left is strongly agree - If a former addict applied for a teaching position at a grade school and was qualified for the job I would recommend hiring him or her,Please Score you're feelings towards the following questions. (Note: All the way to the left is strongly agree - One important thing about addicts is that you cannot tell what they will do from one minute to the next.,"Please Score you're feelings towards the following questions. (Note: All the way to the left is strongly agree - If I know a person has been an addict, I will be less likely to trust him.","Please Score you're feelings towards the following questions. (Note: All the way to the left is strongly agree - Following failed attempt at rehab, should addicts go to jail to protect the public from addicts.",Please Score you're feelings towards the following questions. (Note: All the way to the left is strongly agree - If a former addict lived nearby I would not hesitate to allow young children under my care to play on the sidewalk.,"Here is a description of a 27-year-old man, let's call him Jim Johnson. Several years ago, he developed an
opioid addiction following an injury that progressed to regular heroin use. He completed treatment and
appears to be recovered and is doing pretty well. Jim works at a job in a local business. He earns $54,000 a year before taxes and is doing well enough. He
is well groomed and known for dressing neatly. At his job, he gets along well with his co-workers and is on friendly terms with them. He begins his days
chatting briefly with the people he works with and then gets down to business. He takes coffee and lunch
breaks during the day, just like everyone else, and returns to work when his coworkers do.
Every once in a while Jim becomes frustrated with all the demands at work and says he feels anxious about
them. Once when he felt this way, he got red in the face, went to a back room, and began pacing and
complaining to a co-worker in an angry tone of voice. Later, he talked to some of the people he works with
about the pressures he is sometimes under.
Jim is interested in meeting and dating young women in the community. He is considering joining a local
church group to meet them. He is also looking for a job that gives him more responsibility and pays better
than his current one.

Please Answer the following questions about Jim. - How would you feel about renting a room in your home to someone like Jim Johnson?","Here is a description of a 27-year-old man, let's call him Jim Johnson. Several years ago, he developed an
opioid addiction following an injury that progressed to regular heroin use. He completed treatment and
appears to be recovered and is doing pretty well. Jim works at a job in a local business. He earns $54,000 a year before taxes and is doing well enough. He
is well groomed and known for dressing neatly. At his job, he gets along well with his co-workers and is on friendly terms with them. He begins his days
chatting briefly with the people he works with and then gets down to business. He takes coffee and lunch
breaks during the day, just like everyone else, and returns to work when his coworkers do.
Every once in a while Jim becomes frustrated with all the demands at work and says he feels anxious about
them. Once when he felt this way, he got red in the face, went to a back room, and began pacing and
complaining to a co-worker in an angry tone of voice. Later, he talked to some of the people he works with
about the pressures he is sometimes under.
Jim is interested in meeting and dating young women in the community. He is considering joining a local
church group to meet them. He is also looking for a job that gives him more responsibility and pays better
than his current one.

Please Answer the following questions about Jim. - How about as a worker on the same job as someone like Jim Johnson?","Here is a description of a 27-year-old man, let's call him Jim Johnson. Several years ago, he developed an
opioid addiction following an injury that progressed to regular heroin use. He completed treatment and
appears to be recovered and is doing pretty well. Jim works at a job in a local business. He earns $54,000 a year before taxes and is doing well enough. He
is well groomed and known for dressing neatly. At his job, he gets along well with his co-workers and is on friendly terms with them. He begins his days
chatting briefly with the people he works with and then gets down to business. He takes coffee and lunch
breaks during the day, just like everyone else, and returns to work when his coworkers do.
Every once in a while Jim becomes frustrated with all the demands at work and says he feels anxious about
them. Once when he felt this way, he got red in the face, went to a back room, and began pacing and
complaining to a co-worker in an angry tone of voice. Later, he talked to some of the people he works with
about the pressures he is sometimes under.
Jim is interested in meeting and dating young women in the community. He is considering joining a local
church group to meet them. He is also looking for a job that gives him more responsibility and pays better
than his current one.

Please Answer the following questions about Jim. - How would you feel having someone like Jim Johnson as a neighbor?","Here is a description of a 27-year-old man, let's call him Jim Johnson. Several years ago, he developed an
opioid addiction following an injury that progressed to regular heroin use. He completed treatment and
appears to be recovered and is doing pretty well. Jim works at a job in a local business. He earns $54,000 a year before taxes and is doing well enough. He
is well groomed and known for dressing neatly. At his job, he gets along well with his co-workers and is on friendly terms with them. He begins his days
chatting briefly with the people he works with and then gets down to business. He takes coffee and lunch
breaks during the day, just like everyone else, and returns to work when his coworkers do.
Every once in a while Jim becomes frustrated with all the demands at work and says he feels anxious about
them. Once when he felt this way, he got red in the face, went to a back room, and began pacing and
complaining to a co-worker in an angry tone of voice. Later, he talked to some of the people he works with
about the pressures he is sometimes under.
Jim is interested in meeting and dating young women in the community. He is considering joining a local
church group to meet them. He is also looking for a job that gives him more responsibility and pays better
than his current one.

Please Answer the following questions about Jim. - How about as the caretaker of your children for a couple of hours?","Here is a description of a 27-year-old man, let's call him Jim Johnson. Several years ago, he developed an
opioid addiction following an injury that progressed to regular heroin use. He completed treatment and
appears to be recovered and is doing pretty well. Jim works at a job in a local business. He earns $54,000 a year before taxes and is doing well enough. He
is well groomed and known for dressing neatly. At his job, he gets along well with his co-workers and is on friendly terms with them. He begins his days
chatting briefly with the people he works with and then gets down to business. He takes coffee and lunch
breaks during the day, just like everyone else, and returns to work when his coworkers do.
Every once in a while Jim becomes frustrated with all the demands at work and says he feels anxious about
them. Once when he felt this way, he got red in the face, went to a back room, and began pacing and
complaining to a co-worker in an angry tone of voice. Later, he talked to some of the people he works with
about the pressures he is sometimes under.
Jim is interested in meeting and dating young women in the community. He is considering joining a local
church group to meet them. He is also looking for a job that gives him more responsibility and pays better
than his current one.

Please Answer the following questions about Jim. - How about having your children marry someone like Jim Johnson?","Here is a description of a 27-year-old man, let's call him Jim Johnson. Several years ago, he developed an
opioid addiction following an injury that progressed to regular heroin use. He completed treatment and
appears to be recovered and is doing pretty well. Jim works at a job in a local business. He earns $54,000 a year before taxes and is doing well enough. He
is well groomed and known for dressing neatly. At his job, he gets along well with his co-workers and is on friendly terms with them. He begins his days
chatting briefly with the people he works with and then gets down to business. He takes coffee and lunch
breaks during the day, just like everyone else, and returns to work when his coworkers do.
Every once in a while Jim becomes frustrated with all the demands at work and says he feels anxious about
them. Once when he felt this way, he got red in the face, went to a back room, and began pacing and
complaining to a co-worker in an angry tone of voice. Later, he talked to some of the people he works with
about the pressures he is sometimes under.
Jim is interested in meeting and dating young women in the community. He is considering joining a local
church group to meet them. He is also looking for a job that gives him more responsibility and pays better
than his current one.

Please Answer the following questions about Jim. - How would you feel about introducing Jim Johnson to a young woman you are friendly with?","Here is a description of a 27-year-old man, let's call him Jim Johnson. Several years ago, he developed an
opioid addiction following an injury that progressed to regular heroin use. He completed treatment and
appears to be recovered and is doing pretty well. Jim works at a job in a local business. He earns $54,000 a year before taxes and is doing well enough. He
is well groomed and known for dressing neatly. At his job, he gets along well with his co-workers and is on friendly terms with them. He begins his days
chatting briefly with the people he works with and then gets down to business. He takes coffee and lunch
breaks during the day, just like everyone else, and returns to work when his coworkers do.
Every once in a while Jim becomes frustrated with all the demands at work and says he feels anxious about
them. Once when he felt this way, he got red in the face, went to a back room, and began pacing and
complaining to a co-worker in an angry tone of voice. Later, he talked to some of the people he works with
about the pressures he is sometimes under.
Jim is interested in meeting and dating young women in the community. He is considering joining a local
church group to meet them. He is also looking for a job that gives him more responsibility and pays better
than his current one.

Please Answer the following questions about Jim. - How would you feel about recommending someone like Jim Johnson for a job working for a friend of yours?","Here is a description of a 27-year-old man, let's call him Jim Johnson. Several years ago, he developed an
opioid addiction following an injury that progressed to regular heroin use. He completed treatment and
appears to be recovered and is doing pretty well. Jim works at a job in a local business. He earns $54,000 a year before taxes and is doing well enough. He
is well groomed and known for dressing neatly. At his job, he gets along well with his co-workers and is on friendly terms with them. He begins his days
chatting briefly with the people he works with and then gets down to business. He takes coffee and lunch
breaks during the day, just like everyone else, and returns to work when his coworkers do.
Every once in a while Jim becomes frustrated with all the demands at work and says he feels anxious about
them. Once when he felt this way, he got red in the face, went to a back room, and began pacing and
complaining to a co-worker in an angry tone of voice. Later, he talked to some of the people he works with
about the pressures he is sometimes under.
Jim is interested in meeting and dating young women in the community. He is considering joining a local
church group to meet them. He is also looking for a job that gives him more responsibility and pays better
than his current one.

Please Answer the following questions about Jim. - There should be a law forbidding a former addict the right to obtain a weapons permit.",RandomSurveyID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3#1_1""}","{""ImportId"":""QID3#1_2""}","{""ImportId"":""QID3#1_3""}","{""ImportId"":""QID3#1_4""}","{""ImportId"":""QID3#1_5""}","{""ImportId"":""QID3#1_6""}","{""ImportId"":""QID3#1_7""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""RandomSurveyID""}"
2024-10-16 12:37:46,2024-10-16 12:38:41,0,192.126.144.112,100,55,1,2024-10-16 12:38:42,R_3jfElERCwBf2tjv,,,,,37.751,-97.822,anonymous,EN,1,1,2,2,1,1,2,3,4,2,4,3,4,2,3,1,2,1,3,2,2,12411
2024-10-16 12:37:03,2024-10-16 12:39:35,0,138.36.95.202,100,152,1,2024-10-16 12:39:36,R_7xRlFtKqo7zrLue,,,,,40.7597,-73.981,anonymous,EN,2,1,1,2,1,2,1,3,3,3,2,2,3,2,2,2,2,1,2,1,2,43097
2024-10-16 12:38:13,2024-10-16 12:39:42,0,137.155.55.157,100,88,1,2024-10-16 12:39:43,R_3dxPJLzSinYc7ge,,,,,40.5948,-73.9715,anonymous,EN,1,1,2,1,2,1,1,3,4,3,4,3,3,2,2,1,2,2,2,2,2,23643
2024-10-16 12:36:47,2024-10-16 12:40:05,0,139.171.225.29,100,198,1,2024-10-16 12:40:06,R_7Lt9tVtuN5xoX84,,,,,37.751,-97.822,anonymous,EN,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,11103
2024-10-16 12:37:44,2024-10-16 12:40:21,0,139.171.169.116,100,157,1,2024-10-16 12:40:21,R_1qeXx4Rr3G79hQU,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,26880
2024-10-16 12:39:42,2024-10-16 12:40:24,0,139.171.153.99,100,42,1,2024-10-16 12:40:25,R_6uKEu8eT6WopVvI,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,43073
2024-10-16 12:40:41,2024-10-16 12:41:07,0,139.171.158.252,100,26,1,2024-10-16 12:41:08,R_6JCPWTdKWO22R47,,,,,43.1139,-79.0425,anonymous,EN,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,43944
2024-10-16 12:39:21,2024-10-16 12:41:55,0,103.163.233.209,100,153,1,2024-10-16 12:41:55,R_4iFBH1NVvFE6GHf,,,,,12.8996,80.2209,anonymous,EN,1,1,1,1,2,1,2,3,4,3,2,4,1,1,1,2,2,2,1,1,2,62673
